Species	Body size	Temp. niche	Specialisation	Overw. stage
Epipsilia grisescens	medium	cold	oligophagous	larva
Epipsilia latens	large	cold	oligophagous	larva
Episema glaucina	large	warm	oligophagous	larva
Eriopygodes imbecilla	medium	cold	polyphagous	larva
Eucarta amethystina	medium	warm	oligophagous	pupa
Eucarta virgo	medium	cold	oligophagous	pupa
Euchalcia modestoides	medium	cold	oligophagous	larva
Euchalcia variabilis	large	cold	oligophagous	larva
Eugnorisma depuncta	large	intermediate	polyphagous	larva
Eugnorisma glareosa	large	warm	polyphagous	larva
Eugraphe sigma	large	cold	polyphagous	larva
Euplexia lucipara	medium	intermediate	polyphagous	pupa
Eupsilia transversa	large	intermediate	polyphagous	adult
Eurois occulta	large	cold	polyphagous	larva
Euxoa aquilina	large	intermediate	polyphagous	larva
Euxoa birivia	large	cold	NA	larva
Euxoa cos	large	warm	polyphagous	larva
Euxoa culminicola	large	cold	polyphagous	larva
Euxoa decora	large	cold	polyphagous	larva
Euxoa distinguenda	medium	cold	polyphagous	larva
Euxoa eruta	medium	cold	polyphagous	larva
Euxoa nigricans	medium	cold	polyphagous	larva
Euxoa obelisca	large	intermediate	polyphagous	larva
Euxoa recussa	large	cold	polyphagous	larva
Euxoa vitta	large	cold	polyphagous	larva
Gortyna flavago	large	intermediate	polyphagous	egg
Graphiphora augur	large	cold	polyphagous	larva
Griposia aprilina	large	intermediate	polyphagous	egg
Hada plebeja	medium	cold	polyphagous	pupa
Hadena albimacula	medium	intermediate	monophagous	pupa
Hadena bicruris	large	intermediate	oligophagous	pupa
Hadena caesia	large	cold	monophagous	pupa
Hadena compta	medium	intermediate	oligophagous	pupa
Hadena confusa	medium	intermediate	oligophagous	pupa
Hadena filograna	medium	intermediate	monophagous	pupa
Hadena irregularis	medium	intermediate	oligophagous	pupa
Hadena luteocincta	medium	warm	NA	NA
Hadena magnolii	medium	warm	monophagous	pupa
Hadena perplexa	medium	intermediate	oligophagous	pupa
Hadena tephroleuca	medium	cold	oligophagous	pupa
Hecatera bicolorata	medium	intermediate	oligophagous	pupa
Hecatera dysodea	medium	warm	oligophagous	pupa
Helicoverpa armigera	large	warm	polyphagous	pupa
Heliothis nubigera	large	warm	polyphagous	pupa
Heliothis peltigera	large	warm	polyphagous	pupa
Heliothis viriplaca	medium	warm	polyphagous	pupa
Helotropha leucostigma	large	cold	polyphagous	egg
Hoplodrina ambigua	medium	warm	polyphagous	larva
Hoplodrina blanda	medium	intermediate	polyphagous	larva
Hoplodrina octogenaria	medium	intermediate	polyphagous	larva
Hoplodrina respersa	medium	intermediate	polyphagous	larva
Hoplodrina superstes	medium	warm	polyphagous	larva
Hydraecia micacea	large	cold	polyphagous	egg
Hyppa rectilinea	large	cold	polyphagous	larva
Ipimorpha retusa	medium	intermediate	oligophagous	egg
Ipimorpha subtusa	medium	intermediate	oligophagous	egg
Jodia croceago	large	warm	monophagous	adult
Lacanobia aliena	large	cold	polyphagous	pupa
Lacanobia contigua	large	cold	polyphagous	pupa
Lacanobia oleracea	large	intermediate	polyphagous	pupa
Lacanobia splendens	large	warm	polyphagous	pupa
Lacanobia suasa	large	cold	polyphagous	pupa
Lacanobia thalassina	large	cold	polyphagous	pupa
Lacanobia w-latinum	large	warm	polyphagous	pupa
Lamprotes c-aureum	large	cold	oligophagous	larva
Lasionhada proxima	medium	cold	polyphagous	larva
Lateroligia ophiogramma	medium	intermediate	oligophagous	larva
Lenisa geminipuncta	medium	intermediate	monophagous	egg
Leucania comma	large	cold	oligophagous	larva
Leucania loreyi	large	warm	oligophagous	larva
Leucania obsoleta	medium	intermediate	monophagous	larva
Lithophane consocia	large	cold	oligophagous	adult
Lithophane furcifera	large	cold	polyphagous	adult
Lithophane leautieri	large	warm	oligophagous	adult
Lithophane ornitopus	large	warm	polyphagous	adult
Lithophane semibrunnea	large	warm	monophagous	adult
Lithophane socia	large	cold	polyphagous	adult
Litoligia literosa	medium	cold	oligophagous	larva
Luperina dumerilii	medium	warm	oligophagous	larva
Luperina testacea	large	warm	oligophagous	larva
Luteohadena luteago	large	warm	oligophagous	pupa
Lycophotia porphyrea	medium	intermediate	oligophagous	larva
Macdunnoughia confusa	medium	warm	polyphagous	larva
Mamestra brassicae	large	intermediate	polyphagous	pupa
Melanchra persicariae	large	intermediate	polyphagous	pupa
Mesapamea secalis aggr.	medium	intermediate	oligophagous	larva
Mesogona acetosellae	large	warm	polyphagous	egg
Mesogona oxalina	large	cold	polyphagous	egg
Mesoligia furuncula	medium	intermediate	polyphagous	larva
Mniotype adusta	large	cold	polyphagous	larva
Mniotype satura	large	cold	polyphagous	egg
Mniotype solieri	large	warm	NA	larva
Moma alpium	medium	intermediate	polyphagous	pupa
Mormo maura	large	warm	polyphagous	larva
Mythimna albipuncta	medium	warm	oligophagous	larva
Mythimna anderreggii	medium	cold	oligophagous	pupa
Mythimna congrua	medium	warm	oligophagous	larva
Mythimna conigera	medium	cold	oligophagous	larva
Mythimna ferrago	large	intermediate	oligophagous	larva
Mythimna impura	medium	intermediate	polyphagous	larva
Mythimna l-album	medium	warm	oligophagous	larva
Mythimna pallens	large	intermediate	oligophagous	larva
Mythimna pudorina	large	intermediate	polyphagous	larva
Mythimna riparia	medium	warm	oligophagous	larva
Mythimna sicula	large	warm	oligophagous	larva
Mythimna straminea	large	intermediate	polyphagous	larva
Mythimna turca	large	intermediate	polyphagous	larva
Mythimna unipuncta	large	warm	oligophagous	larva
Mythimna vitellina	large	warm	oligophagous	larva
Naenia typica	large	intermediate	polyphagous	larva
Noctua comes	large	warm	polyphagous	larva
Noctua fimbriata	large	intermediate	polyphagous	larva
Noctua interjecta	medium	warm	polyphagous	larva
Noctua interposita	large	intermediate	polyphagous	larva
Noctua janthe/janthina aggr.	large	warm	polyphagous	larva
Noctua orbona	large	intermediate	polyphagous	larva
Noctua pronuba	large	intermediate	polyphagous	larva
Noctua tirrenica	large	warm	polyphagous	larva
Nonagria typhae	large	intermediate	monophagous	egg
Ochropleura plecta	medium	intermediate	polyphagous	pupa
Oligia dubia	medium	warm	NA	larva
Oligia latruncula	medium	intermediate	oligophagous	larva
Oligia strigilis	medium	intermediate	oligophagous	larva
Oligia versicolor	medium	warm	polyphagous	larva
Opigena polygona	large	cold	polyphagous	larva
Orbona fragariae	large	cold	polyphagous	adult
Orthosia cerasi	large	warm	polyphagous	pupa
Orthosia cruda	medium	warm	polyphagous	pupa
Orthosia gothica	large	intermediate	polyphagous	pupa
Orthosia gracilis	large	intermediate	polyphagous	pupa
Orthosia incerta	large	intermediate	polyphagous	pupa
Orthosia miniosa	medium	warm	polyphagous	pupa
Orthosia opima	large	cold	polyphagous	pupa
Orthosia populeti	large	cold	monophagous	pupa
Pachetra sagittigera	large	intermediate	polyphagous	larva
Panchrysia deaurata	large	cold	monophagous	larva
Panchrysia v-argenteum	large	cold	monophagous	larva
Panemeria tenebrata	medium	warm	oligophagous	pupa
Panolis flammea	large	intermediate	oligophagous	pupa
Panthea coenobita	large	cold	oligophagous	pupa
Papestra biren	medium	cold	polyphagous	pupa
Paradiarsia punicea	medium	cold	polyphagous	larva
Parastichtis suspecta	medium	cold	polyphagous	egg
Peridroma saucia	large	warm	polyphagous	larva
Phlogophora meticulosa	large	warm	polyphagous	larva
Phlogophora scita	large	cold	polyphagous	larva
Photedes captiuncula	medium	cold	polyphagous	larva
Photedes fluxa	medium	cold	monophagous	larva
Photedes minima	medium	cold	monophagous	larva
Photedes morrisii	medium	warm	monophagous	larva
Phragmatiphila nexa	medium	intermediate	polyphagous	egg/larva
Phyllophila obliterata	medium	warm	monophagous	pupa
Plusia festucae	large	intermediate	polyphagous	larva
Polia bombycina	large	cold	polyphagous	larva
Polia hepatica	large	cold	polyphagous	larva
Polia nebulosa	large	intermediate	polyphagous	larva
Polia serratilinea	large	cold	polyphagous	larva
Polychrysia moneta	large	cold	oligophagous	larva
Polymixis rufocincta	large	warm	polyphagous	egg
Polymixis xanthomista	large	warm	polyphagous	egg
Polyphaenis sericata	large	warm	polyphagous	larva
Protolampra sobrina	large	cold	polyphagous	larva
Pseudeustrotia candidula	medium	intermediate	polyphagous	pupa
Pyrrhia umbra	medium	intermediate	polyphagous	pupa
Rhizedra lutosa	large	intermediate	monophagous	egg
Rhyacia helvetina	large	cold	polyphagous	larva
Rhyacia lucipeta	large	cold	polyphagous	larva
Rhyacia simulans	large	intermediate	polyphagous	larva
Rusina ferruginea	large	intermediate	polyphagous	larva
Sedina buettneri	medium	intermediate	polyphagous	egg
Sideridis kitti	large	cold	oligophagous	pupa
Sideridis lampra	medium	cold	polyphagous	larva
Sideridis reticulata	large	cold	NA	pupa
Sideridis rivularis	medium	intermediate	oligophagous	pupa
Sideridis turbida	large	warm	polyphagous	pupa
Spaelotis ravida	large	cold	polyphagous	larva
Spaelotis senna	large	cold	polyphagous	larva
Spodoptera exigua	medium	warm	polyphagous	larva
Standfussiana lucernea	large	cold	polyphagous	larva
Standfussiana wiskotti	large	cold	polyphagous	larva
Staurophora celsia	large	cold	oligophagous	egg
Sunira circellaris	large	intermediate	polyphagous	egg
Syngrapha ain	large	cold	monophagous	larva
Syngrapha hochenwarthi	medium	cold	polyphagous	larva
Syngrapha interrogationis	large	cold	oligophagous	larva
Thalpophila matura	large	warm	oligophagous	larva
Tholera cespitis	large	cold	oligophagous	larva
Tholera decimalis	large	intermediate	oligophagous	egg
Tiliacea aurago	medium	intermediate	polyphagous	egg
Tiliacea citrago	medium	intermediate	monophagous	egg
Trachea atriplicis	large	intermediate	polyphagous	pupa
Trichoplusia ni	large	warm	polyphagous	larva
Trigonophora flammea	large	warm	polyphagous	larva
Tyta luctuosa	medium	warm	monophagous	pupa
Xanthia togata	medium	cold	polyphagous	egg
Xestia alpicola	large	cold	polyphagous	larva
Xestia ashworthii	large	cold	polyphagous	larva
Xestia baja	large	cold	polyphagous	larva
Xestia c-nigrum	large	intermediate	polyphagous	larva
Xestia castanea	large	intermediate	polyphagous	larva
Xestia collina	medium	cold	polyphagous	larva
Xestia ditrapezium	large	intermediate	polyphagous	larva
Xestia lorezi	large	cold	polyphagous	larva
Xestia ochreago	large	cold	polyphagous	larva
Xestia rhaetica	large	cold	monophagous	larva
Xestia sexstrigata	large	intermediate	polyphagous	larva
Xestia speciosa	large	cold	polyphagous	larva
Xestia stigmatica	large	intermediate	polyphagous	larva
Xestia triangulum	large	intermediate	polyphagous	larva
Xestia xanthographa	medium	warm	polyphagous	larva
Xylena exsoleta	large	warm	polyphagous	adult
Xylena solidaginis	large	cold	polyphagous	egg
Xylena vetusta	large	cold	polyphagous	adult
Xylocampa areola	large	warm	monophagous	pupa
Bena bicolorana	large	warm	monophagous	larva
Earias biplaga	small	warm	NA	NA
Earias clorana	small	intermediate	monophagous	pupa
Earias vernana	small	warm	monophagous	pupa
Meganola albula	small	warm	polyphagous	larva
Meganola strigula	small	warm	polyphagous	larva
Meganola togatulalis	medium	warm	monophagous	larva
Nola aerugula	small	cold	polyphagous	larva
Nola confusalis	small	intermediate	polyphagous	pupa
Nola cucullatella	small	intermediate	oligophagous	larva
Nola subchlamydula	small	warm	oligophagous	pupa
Nycteola asiatica	medium	intermediate	oligophagous	adult
Nycteola degenerana	medium	cold	monophagous	adult
Nycteola revayana	medium	warm	monophagous	adult
Nycteola siculana	medium	warm	oligophagous	adult
Pseudoips prasinana	medium	intermediate	polyphagous	pupa
Cerura erminea	large	warm	monophagous	pupa
Cerura vinula	large	intermediate	oligophagous	pupa
Clostera anachoreta	medium	intermediate	oligophagous	pupa
Clostera anastomosis	medium	cold	oligophagous	larva
Clostera curtula	medium	intermediate	oligophagous	pupa
Clostera pigra	medium	cold	polyphagous	pupa
Drymonia dodonaea	medium	warm	monophagous	pupa
Drymonia obliterata	medium	warm	oligophagous	pupa
Drymonia querna	large	warm	oligophagous	pupa
Drymonia ruficornis	large	warm	monophagous	pupa
Drymonia velitaris	large	warm	monophagous	pupa
Furcula bicuspis	large	intermediate	polyphagous	pupa
Furcula bifida	large	intermediate	oligophagous	pupa
Furcula furcula	medium	intermediate	polyphagous	pupa
Gluphisia crenata	medium	intermediate	monophagous	pupa
Harpyia milhauseri	large	warm	polyphagous	pupa
Leucodonta bicoloria	medium	cold	monophagous	pupa
Notodonta dromedarius	large	intermediate	polyphagous	pupa
Notodonta tritophus	large	intermediate	oligophagous	pupa
Notodonta ziczac	large	intermediate	polyphagous	pupa
Odontosia carmelita	large	cold	oligophagous	pupa
Peridea anceps	large	warm	monophagous	pupa
Phalera bucephala	large	intermediate	polyphagous	pupa
Pheosia gnoma	large	cold	polyphagous	pupa
Pheosia tremula	large	intermediate	oligophagous	pupa
Pterostoma palpina	large	intermediate	oligophagous	pupa
Ptilodon capucina	large	intermediate	polyphagous	pupa
Ptilodon cucullina	large	warm	monophagous	pupa
Ptilophora plumigera	large	intermediate	monophagous	egg
Spatalia argentina	large	warm	monophagous	pupa
Stauropus fagi	large	warm	polyphagous	pupa
Thaumetopoea pityocampa	large	warm	monophagous	larva
Thaumetopoea processionea	medium	warm	monophagous	egg
Aglia tau	large	intermediate	polyphagous	pupa
Saturnia pavonia	large	intermediate	polyphagous	pupa
Saturnia pavoniella	large	warm	polyphagous	pupa
Saturnia pyri	large	warm	oligophagous	pupa
Acherontia atropos	large	warm	polyphagous	pupa
Agrius convolvuli	large	warm	oligophagous	pupa
Deilephila elpenor	large	intermediate	polyphagous	pupa
Deilephila porcellus	large	intermediate	monophagous	pupa
Hyles euphorbiae	large	warm	monophagous	pupa
Hyles gallii	large	cold	polyphagous	pupa
Hyles livornica	large	warm	polyphagous	pupa
Hyles vespertilio	large	intermediate	monophagous	pupa
Laothoe populi	large	intermediate	oligophagous	pupa
Mimas tiliae	large	warm	polyphagous	pupa
Proserpinus proserpina	large	warm	oligophagous	pupa
Smerinthus ocellata	large	intermediate	polyphagous	pupa
Sphinx ligustri	large	intermediate	polyphagous	pupa
Sphinx pinastri	large	intermediate	oligophagous	pupa
